instance,num agents,algorithm,length,loops
0,2,ODID,20,0
0,2,Naive,20,0
0,2,Base,20,0
0,2,Plus,20,0
0,2,Window8,20,0
0,2,Window4,20,0
0,2,Window2,20,0
1,3,ODID,18,0
1,3,Naive,18,0
1,3,Base,18,0
1,3,Plus,18,0
1,3,Window8,18,0
1,3,Window4,18,0
1,3,Window2,18,0
2,4,ODID,14,0
2,4,Naive,14,0
2,4,Base,14,0
2,4,Plus,14,0
2,4,Window8,14,0
2,4,Window4,14,0
2,4,Window2,14,0
3,5,ODID,47,0
3,5,Naive,48,0
3,5,Base,47,0
3,5,Plus,47,0
3,5,Window8,47,0
3,5,Window4,47,0
3,5,Window2,48,0
4,6,ODID,48,0
4,6,Naive,49,0
4,6,Base,48,0
4,6,Plus,48,0
4,6,Window8,49,0
4,6,Window4,49,0
4,6,Window2,49,0
5,7,ODID,60,0
5,7,Naive,50,0
5,7,Base,50,0
5,7,Plus,50,0
5,7,Window8,57,0
5,7,Window4,62,0
5,7,Window2,58,0
6,8,ODID,85,0
6,8,Naive,81,0
6,8,Base,81,0
6,8,Plus,81,0
6,8,Window8,81,0
6,8,Window4,81,0
6,8,Window2,81,0
7,9,ODID,94,0
7,9,Naive,92,0
7,9,Base,92,0
7,9,Plus,92,0
7,9,Window8,92,0
7,9,Window4,92,0
7,9,Window2,94,0
8,10,ODID,NA,NA
8,10,Naive,95,0
8,10,Base,95,0
8,10,Plus,95,0
8,10,Window8,95,0
8,10,Window4,95,0
8,10,Window2,98,0
9,11,ODID,NA,NA
9,11,Naive,96,0
9,11,Base,96,0
9,11,Plus,96,0
9,11,Window8,96,0
9,11,Window4,95,0
9,11,Window2,99,0
10,12,ODID,116,0
10,12,Naive,111,0
10,12,Base,111,0
10,12,Plus,111,0
10,12,Window8,111,0
10,12,Window4,111,0
10,12,Window2,114,0
11,13,ODID,NA,NA
11,13,Naive,127,0
11,13,Base,127,0
11,13,Plus,127,0
11,13,Window8,132,0
11,13,Window4,133,0
11,13,Window2,135,0
12,14,ODID,143,0
12,14,Naive,146,0
12,14,Base,143,0
12,14,Plus,143,0
12,14,Window8,143,0
12,14,Window4,143,0
12,14,Window2,144,0
13,15,ODID,NA,NA
13,15,Naive,NA,NA
13,15,Base,160,0
13,15,Plus,160,0
13,15,Window8,162,0
13,15,Window4,167,0
13,15,Window2,163,0
14,16,ODID,143,0
14,16,Naive,122,0
14,16,Base,120,0
14,16,Plus,120,0
14,16,Window8,120,0
14,16,Window4,122,0
14,16,Window2,130,0
15,17,ODID,165,0
15,17,Naive,NA,NA
15,17,Base,143,0
15,17,Plus,143,0
15,17,Window8,153,0
15,17,Window4,147,0
15,17,Window2,156,0
16,18,ODID,NA,NA
16,18,Naive,NA,NA
16,18,Base,171,0
16,18,Plus,175,0
16,18,Window8,178,0
16,18,Window4,172,0
16,18,Window2,183,4
17,19,ODID,NA,NA
17,19,Naive,NA,NA
17,19,Base,170,0
17,19,Plus,170,0
17,19,Window8,170,0
17,19,Window4,180,0
17,19,Window2,182,0
18,20,ODID,NA,NA
18,20,Naive,NA,NA
18,20,Base,160,0
18,20,Plus,160,0
18,20,Window8,168,0
18,20,Window4,171,0
18,20,Window2,172,0
19,21,ODID,NA,NA
19,21,Naive,NA,NA
19,21,Base,184,0
19,21,Plus,184,0
19,21,Window8,197,0
19,21,Window4,208,0
19,21,Window2,208,0
20,22,ODID,NA,NA
20,22,Naive,NA,NA
20,22,Base,212,0
20,22,Plus,212,0
20,22,Window8,223,0
20,22,Window4,219,0
20,22,Window2,226,0
21,23,ODID,NA,NA
21,23,Naive,NA,NA
21,23,Base,183,0
21,23,Plus,183,0
21,23,Window8,209,0
21,23,Window4,194,0
21,23,Window2,202,0
22,24,ODID,NA,NA
22,24,Naive,NA,NA
22,24,Base,219,0
22,24,Plus,219,0
22,24,Window8,230,0
22,24,Window4,232,0
22,24,Window2,243,0
23,25,ODID,NA,NA
23,25,Naive,NA,NA
23,25,Base,NA,NA
23,25,Plus,NA,NA
23,25,Window8,242,0
23,25,Window4,240,0
23,25,Window2,250,2
24,26,ODID,NA,NA
24,26,Naive,NA,NA
24,26,Base,212,0
24,26,Plus,214,0
24,26,Window8,218,0
