instance,num agents,algorithm,length,loops
24,26,Window4,217,0
24,26,Window2,218,0
25,27,ODID,NA,NA
25,27,Naive,NA,NA
25,27,Base,221,0
25,27,Plus,221,0
25,27,Window8,239,0
25,27,Window4,236,0
25,27,Window2,237,0
26,28,ODID,NA,NA
26,28,Naive,NA,NA
26,28,Base,NA,NA
26,28,Plus,NA,NA
26,28,Window8,235,0
26,28,Window4,241,0
26,28,Window2,244,0
27,29,ODID,NA,NA
27,29,Naive,NA,NA
27,29,Base,NA,NA
27,29,Plus,NA,NA
27,29,Window8,NA,NA
27,29,Window4,275,0
27,29,Window2,NA,NA
28,30,ODID,NA,NA
28,30,Naive,NA,NA
28,30,Base,NA,NA
28,30,Plus,NA,NA
28,30,Window8,324,0
28,30,Window4,312,0
28,30,Window2,319,0
29,31,ODID,NA,NA
29,31,Naive,NA,NA
29,31,Base,NA,NA
29,31,Plus,NA,NA
29,31,Window8,NA,NA
29,31,Window4,330,0
29,31,Window2,NA,NA
30,32,ODID,NA,NA
30,32,Naive,NA,NA
30,32,Base,NA,NA
30,32,Plus,NA,NA
30,32,Window8,285,0
30,32,Window4,290,0
30,32,Window2,307,0
31,33,ODID,NA,NA
31,33,Naive,NA,NA
31,33,Base,NA,NA
31,33,Plus,NA,NA
31,33,Window8,NA,NA
31,33,Window4,NA,NA
31,33,Window2,340,2
32,34,ODID,NA,NA
32,34,Naive,NA,NA
32,34,Base,NA,NA
32,34,Plus,NA,NA
32,34,Window8,NA,NA
32,34,Window4,321,0
32,34,Window2,333,0
33,35,ODID,NA,NA
33,35,Naive,NA,NA
33,35,Base,NA,NA
33,35,Plus,NA,NA
33,35,Window8,NA,NA
33,35,Window4,NA,NA
33,35,Window2,NA,NA
34,36,ODID,NA,NA
34,36,Naive,NA,NA
34,36,Base,NA,NA
34,36,Plus,NA,NA
34,36,Window8,NA,NA
34,36,Window4,NA,NA
34,36,Window2,NA,NA
35,37,ODID,NA,NA
35,37,Naive,NA,NA
35,37,Base,NA,NA
35,37,Plus,NA,NA
35,37,Window8,NA,NA
35,37,Window4,280,0
35,37,Window2,289,0
36,38,ODID,NA,NA
36,38,Naive,NA,NA
36,38,Base,NA,NA
36,38,Plus,NA,NA
36,38,Window8,NA,NA
36,38,Window4,NA,NA
36,38,Window2,338,0
37,39,ODID,NA,NA
37,39,Naive,NA,NA
37,39,Base,NA,NA
37,39,Plus,NA,NA
37,39,Window8,NA,NA
37,39,Window4,NA,NA
37,39,Window2,NA,NA
38,40,ODID,NA,NA
38,40,Naive,NA,NA
38,40,Base,NA,NA
38,40,Plus,NA,NA
38,40,Window8,NA,NA
38,40,Window4,NA,NA
38,40,Window2,NA,NA
39,2,ODID,22,0
39,2,Naive,22,0
39,2,Base,22,0
39,2,Plus,22,0
39,2,Window8,22,0
39,2,Window4,22,0
39,2,Window2,22,0
40,3,ODID,26,0
40,3,Naive,26,0
40,3,Base,26,0
40,3,Plus,26,0
40,3,Window8,26,0
40,3,Window4,26,0
40,3,Window2,26,0
41,4,ODID,30,0
41,4,Naive,30,0
41,4,Base,30,0
41,4,Plus,30,0
41,4,Window8,30,0
41,4,Window4,30,0
41,4,Window2,30,0
42,5,ODID,42,0
42,5,Naive,42,0
42,5,Base,42,0
42,5,Plus,42,0
42,5,Window8,42,0
42,5,Window4,42,0
42,5,Window2,42,0
43,6,ODID,61,0
43,6,Naive,60,0
43,6,Base,60,0
43,6,Plus,60,0
43,6,Window8,60,0
43,6,Window4,60,0
43,6,Window2,60,0
44,7,ODID,69,0
44,7,Naive,69,0
44,7,Base,69,0
44,7,Plus,69,0
44,7,Window8,70,0
44,7,Window4,69,0
44,7,Window2,70,0
45,8,ODID,67,0
45,8,Naive,67,0
45,8,Base,67,0
45,8,Plus,67,0
45,8,Window8,67,0
45,8,Window4,67,0
45,8,Window2,67,0
46,9,ODID,112,0
46,9,Naive,90,0
46,9,Base,90,0
46,9,Plus,90,0
46,9,Window8,90,0
46,9,Window4,91,0
46,9,Window2,90,0
47,10,ODID,89,0
47,10,Naive,88,0
47,10,Base,88,0
47,10,Plus,88,0
47,10,Window8,88,0
47,10,Window4,94,0
47,10,Window2,88,0
48,11,ODID,96,0
48,11,Naive,95,0
48,11,Base,96,0
48,11,Plus,96,0
48,11,Window8,95,0
48,11,Window4,95,0
48,11,Window2,96,0
49,12,ODID,118,0
49,12,Naive,107,0
49,12,Base,107,0
49,12,Plus,107,0
49,12,Window8,115,0
49,12,Window4,112,0
49,12,Window2,112,0
50,13,ODID,128,0
50,13,Naive,116,0
50,13,Base,116,0
50,13,Plus,116,0
50,13,Window8,116,0
50,13,Window4,116,0
50,13,Window2,116,0
51,14,ODID,NA,NA
51,14,Naive,141,0
51,14,Base,142,0
51,14,Plus,142,0
51,14,Window8,142,0
51,14,Window4,142,0
51,14,Window2,150,0
52,15,ODID,NA,NA
52,15,Naive,NA,NA
52,15,Base,130,0
52,15,Plus,133,0
52,15,Window8,133,0
52,15,Window4,130,0
52,15,Window2,132,0
53,16,ODID,NA,NA
53,16,Naive,NA,NA
53,16,Base,138,0
53,16,Plus,138,0
53,16,Window8,151,0
53,16,Window4,151,0
53,16,Window2,NA,NA
54,17,ODID,150,0
54,17,Naive,NA,NA
54,17,Base,142,0
54,17,Plus,142,0
54,17,Window8,146,0
54,17,Window4,146,0
54,17,Window2,146,0
55,18,ODID,NA,NA
55,18,Naive,NA,NA
55,18,Base,167,0
55,18,Plus,167,0
55,18,Window8,168,0
55,18,Window4,172,0
55,18,Window2,178,0
56,19,ODID,NA,NA
56,19,Naive,NA,NA
56,19,Base,151,0
56,19,Plus,151,0
56,19,Window8,151,0
56,19,Window4,155,0
56,19,Window2,158,0
57,20,ODID,NA,NA
57,20,Naive,NA,NA
57,20,Base,215,0
57,20,Plus,215,0
57,20,Window8,216,0
57,20,Window4,220,0
57,20,Window2,224,0
58,21,ODID,NA,NA
58,21,Naive,NA,NA
58,21,Base,172,0
58,21,Plus,172,0
58,21,Window8,184,0
58,21,Window4,186,0
58,21,Window2,186,0
59,22,ODID,NA,NA
59,22,Naive,NA,NA
59,22,Base,182,0
59,22,Plus,182,0
59,22,Window8,203,0
59,22,Window4,204,0
59,22,Window2,204,0
60,23,ODID,NA,NA
60,23,Naive,NA,NA
60,23,Base,177,0
60,23,Plus,177,0
60,23,Window8,190,0
60,23,Window4,195,0
60,23,Window2,202,1
61,24,ODID,NA,NA
61,24,Naive,NA,NA
61,24,Base,NA,NA
61,24,Plus,NA,NA
61,24,Window8,234,0
61,24,Window4,237,0
61,24,Window2,NA,NA
62,25,ODID,NA,NA
62,25,Naive,NA,NA
62,25,Base,222,0
62,25,Plus,222,0
62,25,Window8,238,0
62,25,Window4,239,0
62,25,Window2,234,0
63,26,ODID,NA,NA
63,26,Naive,NA,NA
63,26,Base,240,0
63,26,Plus,240,0
63,26,Window8,250,0
63,26,Window4,247,0
63,26,Window2,259,1
64,27,ODID,NA,NA
64,27,Naive,NA,NA
64,27,Base,NA,NA
64,27,Plus,NA,NA
64,27,Window8,267,0
64,27,Window4,263,0
64,27,Window2,267,0
65,28,ODID,NA,NA
65,28,Naive,NA,NA
65,28,Base,NA,NA
65,28,Plus,NA,NA
65,28,Window8,NA,NA
65,28,Window4,336,0
65,28,Window2,NA,NA
66,29,ODID,NA,NA
66,29,Naive,NA,NA
66,29,Base,260,0
66,29,Plus,261,0
66,29,Window8,272,0
66,29,Window4,279,0
66,29,Window2,290,0
67,30,ODID,NA,NA
67,30,Naive,NA,NA
67,30,Base,NA,NA
67,30,Plus,NA,NA
67,30,Window8,NA,NA
67,30,Window4,326,2
67,30,Window2,335,3
68,31,ODID,NA,NA
68,31,Naive,NA,NA
68,31,Base,NA,NA
68,31,Plus,NA,NA
68,31,Window8,313,0
68,31,Window4,307,0
68,31,Window2,313,0
69,32,ODID,NA,NA
69,32,Naive,NA,NA
69,32,Base,NA,NA
69,32,Plus,NA,NA
69,32,Window8,271,0
69,32,Window4,287,2
69,32,Window2,300,0
70,33,ODID,NA,NA
70,33,Naive,NA,NA
70,33,Base,NA,NA
70,33,Plus,NA,NA
70,33,Window8,NA,NA
70,33,Window4,NA,NA
70,33,Window2,343,0
71,34,ODID,NA,NA
71,34,Naive,NA,NA
71,34,Base,NA,NA
71,34,Plus,NA,NA
71,34,Window8,NA,NA
71,34,Window4,NA,NA
71,34,Window2,339,1
72,35,ODID,NA,NA
72,35,Naive,NA,NA
72,35,Base,NA,NA
72,35,Plus,NA,NA
72,35,Window8,NA,NA
72,35,Window4,NA,NA
72,35,Window2,338,0
73,36,ODID,NA,NA
73,36,Naive,NA,NA
73,36,Base,NA,NA
73,36,Plus,NA,NA
73,36,Window8,NA,NA
73,36,Window4,NA,NA
73,36,Window2,367,2
74,37,ODID,NA,NA
74,37,Naive,NA,NA
74,37,Base,NA,NA
74,37,Plus,NA,NA
74,37,Window8,NA,NA
74,37,Window4,NA,NA
74,37,Window2,NA,NA
75,38,ODID,NA,NA
75,38,Naive,NA,NA
75,38,Base,NA,NA
75,38,Plus,NA,NA
75,38,Window8,NA,NA
75,38,Window4,NA,NA
75,38,Window2,NA,NA
76,39,ODID,NA,NA
76,39,Naive,NA,NA
76,39,Base,NA,NA
76,39,Plus,NA,NA
76,39,Window8,NA,NA
76,39,Window4,NA,NA
76,39,Window2,NA,NA
77,40,ODID,NA,NA
77,40,Naive,NA,NA
77,40,Base,NA,NA
77,40,Plus,NA,NA
77,40,Window8,NA,NA
77,40,Window4,NA,NA
77,40,Window2,NA,NA
78,2,ODID,21,0
78,2,Naive,21,0
78,2,Base,21,0
78,2,Plus,21,0
78,2,Window8,21,0
78,2,Window4,21,0
78,2,Window2,21,0
79,3,ODID,27,0
79,3,Naive,27,0
79,3,Base,27,0
79,3,Plus,27,0
79,3,Window8,27,0
79,3,Window4,27,0
79,3,Window2,27,0
80,4,ODID,38,0
80,4,Naive,33,0
80,4,Base,33,0
80,4,Plus,33,0
80,4,Window8,33,0
80,4,Window4,33,0
80,4,Window2,33,0
81,5,ODID,39,0
81,5,Naive,39,0
81,5,Base,39,0
81,5,Plus,39,0
81,5,Window8,39,0
81,5,Window4,39,0
81,5,Window2,39,0
82,6,ODID,44,0
82,6,Naive,44,0
82,6,Base,44,0
82,6,Plus,44,0
82,6,Window8,44,0
82,6,Window4,44,0
82,6,Window2,44,0
83,7,ODID,75,0
83,7,Naive,61,0
83,7,Base,60,0
83,7,Plus,60,0
83,7,Window8,63,0
83,7,Window4,63,0
83,7,Window2,63,0
84,8,ODID,73,0
84,8,Naive,72,0
84,8,Base,72,0
84,8,Plus,72,0
84,8,Window8,72,0
84,8,Window4,72,0
84,8,Window2,72,0
85,9,ODID,90,0
85,9,Naive,NA,NA
85,9,Base,90,0
85,9,Plus,90,0
85,9,Window8,92,0
85,9,Window4,94,0
85,9,Window2,94,0
86,10,ODID,99,0
86,10,Naive,96,0
86,10,Base,94,0
86,10,Plus,94,0
86,10,Window8,94,0
86,10,Window4,94,0
86,10,Window2,94,0
87,11,ODID,111,0
87,11,Naive,NA,NA
87,11,Base,104,0
87,11,Plus,104,0
87,11,Window8,108,0
87,11,Window4,106,0
87,11,Window2,106,0
88,12,ODID,106,0
88,12,Naive,106,0
88,12,Base,105,0
88,12,Plus,105,0
88,12,Window8,107,0
88,12,Window4,107,0
88,12,Window2,107,0
89,13,ODID,99,0
89,13,Naive,93,0
89,13,Base,91,0
89,13,Plus,91,0
89,13,Window8,96,0
89,13,Window4,95,0
89,13,Window2,95,0
90,14,ODID,NA,NA
90,14,Naive,103,0
90,14,Base,103,0
90,14,Plus,103,0
90,14,Window8,107,0
90,14,Window4,114,0
90,14,Window2,113,0
91,15,ODID,119,0
91,15,Naive,119,0
91,15,Base,118,0
91,15,Plus,118,0
91,15,Window8,118,0
91,15,Window4,120,0
91,15,Window2,119,0
92,16,ODID,NA,NA
92,16,Naive,NA,NA
92,16,Base,126,0
92,16,Plus,126,0
92,16,Window8,128,0
92,16,Window4,130,0
92,16,Window2,128,0
93,17,ODID,NA,NA
93,17,Naive,NA,NA
93,17,Base,190,0
93,17,Plus,190,0
93,17,Window8,194,0
93,17,Window4,192,0
93,17,Window2,192,0
94,18,ODID,NA,NA
94,18,Naive,NA,NA
94,18,Base,154,0
94,18,Plus,154,0
94,18,Window8,153,0
94,18,Window4,154,0
94,18,Window2,155,0
95,19,ODID,NA,NA
95,19,Naive,NA,NA
95,19,Base,164,0
95,19,Plus,164,0
95,19,Window8,168,0
95,19,Window4,168,0
95,19,Window2,170,0
96,20,ODID,NA,NA
96,20,Naive,NA,NA
96,20,Base,194,0
96,20,Plus,194,0
96,20,Window8,194,0
96,20,Window4,192,0
96,20,Window2,193,0
97,21,ODID,NA,NA
97,21,Naive,NA,NA
97,21,Base,161,0
97,21,Plus,160,0
97,21,Window8,171,0
97,21,Window4,169,0
97,21,Window2,170,0
98,22,ODID,182,0
98,22,Naive,NA,NA
98,22,Base,180,0
98,22,Plus,180,0
98,22,Window8,185,0
98,22,Window4,179,0
98,22,Window2,181,0
99,23,ODID,NA,NA
99,23,Naive,NA,NA
99,23,Base,NA,NA
99,23,Plus,NA,NA
99,23,Window8,206,0
99,23,Window4,213,1
99,23,Window2,201,0
100,24,ODID,NA,NA
100,24,Naive,NA,NA
100,24,Base,216,0
100,24,Plus,218,0
100,24,Window8,223,0
100,24,Window4,219,0
100,24,Window2,227,0
101,25,ODID,NA,NA
101,25,Naive,NA,NA
101,25,Base,214,0
101,25,Plus,214,0
101,25,Window8,232,0
101,25,Window4,234,0
101,25,Window2,NA,NA
102,26,ODID,NA,NA
102,26,Naive,NA,NA
102,26,Base,NA,NA
102,26,Plus,NA,NA
102,26,Window8,255,0
102,26,Window4,254,0
102,26,Window2,249,0
103,27,ODID,NA,NA
103,27,Naive,NA,NA
103,27,Base,NA,NA
103,27,Plus,NA,NA
103,27,Window8,269,0
103,27,Window4,269,0
103,27,Window2,269,0
104,28,ODID,NA,NA
104,28,Naive,NA,NA
104,28,Base,228,0
104,28,Plus,228,0
104,28,Window8,238,0
104,28,Window4,252,0
104,28,Window2,238,0
105,29,ODID,NA,NA
105,29,Naive,NA,NA
105,29,Base,245,0
105,29,Plus,245,0
105,29,Window8,255,0
105,29,Window4,259,0
105,29,Window2,261,0
106,30,ODID,NA,NA
106,30,Naive,NA,NA
106,30,Base,NA,NA
106,30,Plus,NA,NA
106,30,Window8,297,0
106,30,Window4,294,0
106,30,Window2,293,0
107,31,ODID,NA,NA
107,31,Naive,NA,NA
107,31,Base,NA,NA
107,31,Plus,NA,NA
107,31,Window8,NA,NA
107,31,Window4,322,0
107,31,Window2,326,0
108,32,ODID,NA,NA
108,32,Naive,NA,NA
108,32,Base,NA,NA
108,32,Plus,NA,NA
108,32,Window8,NA,NA
108,32,Window4,313,1
108,32,Window2,322,1
109,33,ODID,NA,NA
109,33,Naive,NA,NA
109,33,Base,NA,NA
109,33,Plus,NA,NA
109,33,Window8,282,0
109,33,Window4,288,0
109,33,Window2,294,0
110,34,ODID,NA,NA
110,34,Naive,NA,NA
110,34,Base,NA,NA
110,34,Plus,NA,NA
110,34,Window8,NA,NA
110,34,Window4,NA,NA
110,34,Window2,356,0
111,35,ODID,NA,NA
111,35,Naive,NA,NA
111,35,Base,NA,NA
111,35,Plus,NA,NA
111,35,Window8,NA,NA
111,35,Window4,NA,NA
111,35,Window2,NA,NA
112,36,ODID,NA,NA
112,36,Naive,NA,NA
112,36,Base,NA,NA
112,36,Plus,NA,NA
112,36,Window8,NA,NA
112,36,Window4,NA,NA
112,36,Window2,NA,NA
113,37,ODID,NA,NA
113,37,Naive,NA,NA
113,37,Base,NA,NA
113,37,Plus,NA,NA
113,37,Window8,NA,NA
113,37,Window4,NA,NA
113,37,Window2,NA,NA
114,38,ODID,NA,NA
114,38,Naive,NA,NA
114,38,Base,NA,NA
114,38,Plus,NA,NA
114,38,Window8,NA,NA
114,38,Window4,NA,NA
114,38,Window2,NA,NA
115,39,ODID,NA,NA
115,39,Naive,NA,NA
115,39,Base,NA,NA
115,39,Plus,NA,NA
115,39,Window8,NA,NA
115,39,Window4,NA,NA
115,39,Window2,NA,NA
116,40,ODID,NA,NA
116,40,Naive,NA,NA
116,40,Base,NA,NA
116,40,Plus,NA,NA
116,40,Window8,NA,NA
116,40,Window4,NA,NA
116,40,Window2,NA,NA
117,2,ODID,14,0
117,2,Naive,14,0
117,2,Base,14,0
117,2,Plus,14,0
117,2,Window8,14,0
117,2,Window4,14,0
117,2,Window2,14,0
118,3,ODID,36,0
118,3,Naive,36,0
118,3,Base,36,0
118,3,Plus,36,0
118,3,Window8,36,0
118,3,Window4,36,0
118,3,Window2,36,0
119,4,ODID,22,0
119,4,Naive,22,0
119,4,Base,22,0
119,4,Plus,22,0
119,4,Window8,22,0
119,4,Window4,22,0
119,4,Window2,22,0
120,5,ODID,51,0
120,5,Naive,41,0
120,5,Base,41,0
120,5,Plus,41,0
120,5,Window8,41,0
120,5,Window4,41,0
120,5,Window2,41,0
121,6,ODID,48,0
121,6,Naive,44,0
121,6,Base,44,0
121,6,Plus,44,0
121,6,Window8,44,0
121,6,Window4,44,0
121,6,Window2,44,0
122,7,ODID,68,0
122,7,Naive,68,0
122,7,Base,67,0
122,7,Plus,67,0
122,7,Window8,67,0
122,7,Window4,67,0
122,7,Window2,68,0
123,8,ODID,81,0
123,8,Naive,80,0
123,8,Base,80,0
123,8,Plus,80,0
123,8,Window8,81,0
123,8,Window4,81,0
123,8,Window2,81,0
124,9,ODID,73,0
124,9,Naive,71,0
124,9,Base,71,0
124,9,Plus,71,0
124,9,Window8,70,0
124,9,Window4,70,0
124,9,Window2,70,0
125,10,ODID,73,0
125,10,Naive,73,0
125,10,Base,73,0
125,10,Plus,73,0
125,10,Window8,73,0
125,10,Window4,73,0
125,10,Window2,73,0
126,11,ODID,88,0
126,11,Naive,88,0
126,11,Base,88,0
126,11,Plus,88,0
126,11,Window8,100,0
126,11,Window4,88,0
126,11,Window2,88,0
127,12,ODID,136,0
127,12,Naive,NA,NA
127,12,Base,114,0
127,12,Plus,114,0
127,12,Window8,125,0
127,12,Window4,125,0
127,12,Window2,124,0
128,13,ODID,137,0
128,13,Naive,125,0
128,13,Base,125,0
128,13,Plus,125,0
128,13,Window8,129,0
128,13,Window4,129,0
128,13,Window2,130,0
129,14,ODID,114,0
129,14,Naive,99,0
129,14,Base,99,0
129,14,Plus,99,0
129,14,Window8,99,0
129,14,Window4,101,0
129,14,Window2,101,0
130,15,ODID,NA,NA
130,15,Naive,NA,NA
130,15,Base,133,0
130,15,Plus,133,0
130,15,Window8,136,0
130,15,Window4,138,2
130,15,Window2,142,0
131,16,ODID,NA,NA
131,16,Naive,NA,NA
131,16,Base,163,0
131,16,Plus,163,0
131,16,Window8,167,0
131,16,Window4,168,0
131,16,Window2,170,0
132,17,ODID,160,0
132,17,Naive,149,0
132,17,Base,148,0
132,17,Plus,148,0
132,17,Window8,148,0
132,17,Window4,151,0
132,17,Window2,152,0
133,18,ODID,NA,NA
133,18,Naive,NA,NA
133,18,Base,161,0
133,18,Plus,161,0
133,18,Window8,158,0
133,18,Window4,163,0
133,18,Window2,163,0
134,19,ODID,NA,NA
134,19,Naive,NA,NA
134,19,Base,172,0
134,19,Plus,172,0
134,19,Window8,183,0
134,19,Window4,192,0
134,19,Window2,196,0
135,20,ODID,NA,NA
135,20,Naive,NA,NA
135,20,Base,161,0
135,20,Plus,161,0
135,20,Window8,174,0
135,20,Window4,179,0
135,20,Window2,174,0
136,21,ODID,NA,NA
136,21,Naive,NA,NA
136,21,Base,183,0
136,21,Plus,183,0
136,21,Window8,193,0
136,21,Window4,194,0
136,21,Window2,210,0
137,22,ODID,NA,NA
137,22,Naive,NA,NA
137,22,Base,176,0
137,22,Plus,176,0
137,22,Window8,195,0
137,22,Window4,209,0
137,22,Window2,186,0
138,23,ODID,NA,NA
138,23,Naive,NA,NA
138,23,Base,162,0
138,23,Plus,161,0
138,23,Window8,183,0
138,23,Window4,193,0
138,23,Window2,193,0
139,24,ODID,NA,NA
139,24,Naive,NA,NA
139,24,Base,210,0
139,24,Plus,210,0
139,24,Window8,221,0
139,24,Window4,220,1
139,24,Window2,NA,NA
140,25,ODID,NA,NA
140,25,Naive,NA,NA
140,25,Base,217,0
140,25,Plus,217,0
140,25,Window8,234,0
140,25,Window4,239,0
140,25,Window2,238,0
141,26,ODID,NA,NA
141,26,Naive,NA,NA
141,26,Base,201,0
141,26,Plus,201,0
141,26,Window8,207,0
141,26,Window4,218,0
141,26,Window2,219,0
142,27,ODID,NA,NA
142,27,Naive,NA,NA
142,27,Base,NA,NA
142,27,Plus,NA,NA
142,27,Window8,258,0
142,27,Window4,256,0
142,27,Window2,270,1
143,28,ODID,NA,NA
143,28,Naive,NA,NA
143,28,Base,242,0
143,28,Plus,242,0
143,28,Window8,248,0
143,28,Window4,258,0
143,28,Window2,253,0
144,29,ODID,NA,NA
144,29,Naive,NA,NA
144,29,Base,NA,NA
144,29,Plus,NA,NA
144,29,Window8,268,0
144,29,Window4,265,0
144,29,Window2,281,0
145,30,ODID,NA,NA
145,30,Naive,NA,NA
145,30,Base,NA,NA
145,30,Plus,NA,NA
145,30,Window8,276,0
145,30,Window4,273,0
145,30,Window2,NA,NA
146,31,ODID,NA,NA
146,31,Naive,NA,NA
146,31,Base,NA,NA
146,31,Plus,NA,NA
146,31,Window8,NA,NA
146,31,Window4,297,0
146,31,Window2,304,0
147,32,ODID,NA,NA
147,32,Naive,NA,NA
147,32,Base,NA,NA
147,32,Plus,NA,NA
147,32,Window8,NA,NA
147,32,Window4,309,0
147,32,Window2,NA,NA
148,33,ODID,NA,NA
148,33,Naive,NA,NA
148,33,Base,NA,NA
148,33,Plus,NA,NA
148,33,Window8,NA,NA
148,33,Window4,305,1
148,33,Window2,301,0
149,34,ODID,NA,NA
149,34,Naive,NA,NA
149,34,Base,NA,NA
149,34,Plus,NA,NA
149,34,Window8,NA,NA
149,34,Window4,325,0
149,34,Window2,330,0
150,35,ODID,NA,NA
150,35,Naive,NA,NA
150,35,Base,NA,NA
150,35,Plus,NA,NA
150,35,Window8,NA,NA
150,35,Window4,NA,NA
150,35,Window2,354,0
151,36,ODID,NA,NA
151,36,Naive,NA,NA
151,36,Base,NA,NA
151,36,Plus,NA,NA
151,36,Window8,NA,NA
151,36,Window4,NA,NA
151,36,Window2,309,4
152,37,ODID,NA,NA
152,37,Naive,NA,NA
152,37,Base,NA,NA
152,37,Plus,NA,NA
152,37,Window8,NA,NA
152,37,Window4,NA,NA
152,37,Window2,NA,NA
153,38,ODID,NA,NA
153,38,Naive,NA,NA
153,38,Base,NA,NA
153,38,Plus,NA,NA
153,38,Window8,NA,NA
153,38,Window4,NA,NA
153,38,Window2,NA,NA
154,39,ODID,NA,NA
154,39,Naive,NA,NA
154,39,Base,NA,NA
154,39,Plus,NA,NA
154,39,Window8,NA,NA
154,39,Window4,NA,NA
154,39,Window2,NA,NA
155,40,ODID,NA,NA
155,40,Naive,NA,NA
155,40,Base,NA,NA
155,40,Plus,NA,NA
155,40,Window8,NA,NA
155,40,Window4,NA,NA
155,40,Window2,NA,NA
156,2,ODID,16,0
156,2,Naive,16,0
156,2,Base,16,0
156,2,Plus,16,0
156,2,Window8,16,0
156,2,Window4,16,0
156,2,Window2,16,0
157,3,ODID,32,0
157,3,Naive,32,0
157,3,Base,32,0
157,3,Plus,32,0
157,3,Window8,32,0
157,3,Window4,32,0
157,3,Window2,32,0
158,4,ODID,39,0
158,4,Naive,39,0
