temp,Window 4_score,Window 4_len,Window 4_conflicts,Window 4_partial
100,9.166089965397925,2.873514396471692,9.439517606672126,3.771495256410445
99,9.166089965397925,2.873514396471692,9.439517606672126,3.771495256410445
98,9.023809523809524,2.257211622822838,9.835006828161184,2.6956323989986535
97,9.094915254237288,1.8148115205004047,9.129959784190202,1.7927217779570284
96,9.673267326732674,2.1894121611876263,10.903305536494834,2.8625396231255857
95,8.693140794223826,0.37400243919090537,12.249051389989647,2.559208877912865
94,8.520979020979022,0.018884351404629685,12.598397941639735,1.6442958857268153
93,9.170731707317072,0.30659478225279996,12.866096721185604,3.3418094675268426
92,8.969178082191782,0.3573473869194819,14.740569286068233,5.373447465504342
91,8.746575342465754,0.08204676626610191,13.338867553987347,4.692788101522907
90,8.716262975778546,1.4544063937429812,13.112975853290527,4.228876026003738
89,9.675767918088738,2.0916672363271513,13.483737306086178,5.761440569800776
88,9.271812080536913,2.9849592039988577,13.675616097799832,5.24407033142597
87,8.217543859649123,3.066668469560815,15.66594670517674,5.649448661276393
86,9.230508474576272,2.8434209099706567,15.051291105025165,4.734752561411332
85,8.934027777777779,2.789054391861077,14.801778240143715,5.270381728070619
84,8.748299319727892,2.5365328318254208,14.905127812034788,4.488425772548835
83,8.139372822299652,0.9707812637138158,15.953816521416595,5.427017829804731
82,8.937716262975778,1.1957948222539503,16.200475635213326,6.4828536804898125
81,9.14041095890411,1.067001572763432,14.436790968484061,4.827059113816581
80,9.14041095890411,1.067001572763432,14.436790968484061,4.827059113816581
79,8.559859154929578,2.7840539671007285,14.727964517886972,4.19890881119273
78,9.072164948453608,1.8018980569131433,15.850904381012567,4.371971972254356
77,8.342960288808664,3.9534342320925058,17.51740032491015,2.9561385648758476
76,7.773381294964029,4.089671155683783,17.855919487073624,3.220357035559072
75,8.681660899653979,2.179020097372895,17.748916968254587,4.402219566358692
74,9.81,2.9837841333929616,16.758292788700853,4.0943344335301255
73,8.619718309859154,4.184498746743293,17.538398907528187,3.7630687228789
72,9.613333333333333,3.62818699643408,19.284037947584533,3.721207742483866
71,9.613333333333333,3.62818699643408,19.284037947584533,3.721207742483866
70,9.524916943521594,4.76764212837046,17.984236640699564,4.456609297400866
69,8.722972972972974,4.948452468017453,17.51669811799383,3.0873919691769736
68,8.84452296819788,5.557720493363837,18.517842429764702,1.7318200698545028
67,8.99644128113879,4.6988659736550655,20.861932241111568,2.0434193505111415
66,8.713286713286713,5.453193078289898,20.948806535096022,2.126128545951605
65,8.8006993006993,6.398939246325471,20.284270403256212,1.2595854668270419
64,9.960912052117264,7.269577472167347,20.163727352940054,0.013199029822746677
63,9.807817589576548,8.952018779219609,20.697510097622036,0.30570539549530923
62,9.807817589576548,8.952018779219609,20.697510097622036,0.30570539549530923
61,9.016949152542374,8.69206618912443,19.61559758919957,1.1326754057839048
60,9.367003367003367,7.36036572404637,20.39139124085581,0.29666059336595796
59,9.20875420875421,5.284668161848963,21.051760753813316,2.163171280060727
58,9.449180327868852,3.2209037984426643,23.014825614190936,1.7005744588590406
57,9.449180327868852,3.2209037984426643,23.014825614190936,1.7005744588590406
56,9.72972972972973,4.02266374414647,23.530990934508495,0.814414284857147
55,8.537671232876713,2.884030777614444,24.32480816819045,1.484121864997098
54,9.184931506849315,2.7979970646879897,24.988356084896523,2.1741368830217973
53,9.184931506849315,2.7979970646879897,24.988356084896523,2.1741368830217973
52,9.493288590604028,3.177601154689574,24.427615178581114,2.1968835494455425
51,9.114478114478114,2.1287045829862254,24.54703307195207,2.324230004448104
50,9.255972696245733,1.603111915627506,23.683976464236316,2.9197908609074057
49,9.52721088435374,2.246089220136043,23.83224037274103,3.2970124745900833
48,9.464163822525597,1.7371980882522007,23.246121200684627,3.8748329253883953
47,8.336842105263157,2.8953438855293783,25.456591282326823,3.7590984473177804
46,8.336842105263157,2.8953438855293783,25.456591282326823,3.7590984473177804
45,9.62541806020067,3.2623120162705246,26.044571708885723,3.195159508401527
44,8.556313993174061,3.2490051126624544,25.148901066590707,3.6521532890442963
43,8.686832740213523,5.033246301593678,24.490221522613286,4.241801678883351
42,8.686832740213523,5.033246301593678,24.490221522613286,4.241801678883351
41,8.79251700680272,5.841152137944502,22.612612318811642,4.204919333582268
40,8.986206896551725,6.2219080152436455,22.314772712224844,3.6831554264012407
39,8.514084507042254,4.90862025686854,20.898456308657686,4.159637303558535
38,8.514084507042254,4.90862025686854,20.898456308657686,4.159637303558535
37,8.275985663082437,4.538919113239107,21.549669036844875,2.953288443123001
36,9.003322259136212,4.979773080216912,21.253482021989775,2.3997205829359243
35,9.082758620689654,5.385641943375957,21.615140361121693,3.5752267422456474
34,9.51027397260274,6.457934597528516,21.469067205422913,3.795957102599965
33,8.075539568345324,6.494477898501552,21.12481596531721,4.304716514596285
32,8.066666666666666,6.1122909059020625,21.133214651216353,4.838775219423972
31,8.642857142857142,6.068881515754114,19.88035876259967,3.9080968519742116
30,8.566901408450704,5.9644656452601135,19.668151242801986,2.3552452402155737
29,8.027972027972028,5.502688819557738,19.631879785504555,2.406147843031322
28,9.003533568904594,6.375368827804609,19.319116195725893,1.5376011264949652
27,9.003533568904594,6.375368827804609,19.319116195725893,1.5376011264949652
