temp,Version 1b_score,Version 1b_len,Version 1b_conflicts,Version 1b_partial
100,1.2895927601809956,2.4407692678938204,6.5941990934860675,4.882669814590124
99,1.2897196261682242,1.8725225530590743,3.880369387246541,6.334942640803806
98,1.3470319634703196,1.0145304791802876,4.2983214904099025,6.9580435216671574
97,1.2809523809523808,2.3909130617805117,5.567517497679287,6.493010302240798
96,1.6009389671361502,2.820028676675455,3.392067651247196,7.770399623332969
95,1.3080568720379147,3.3223705392659784,4.522403568841648,7.69225512996613
94,1.4508928571428572,3.1133452663889827,3.1165736126033554,8.237280656037557
93,1.273972602739726,2.5816729890380548,2.030039035837266,8.257032131808685
92,1.3457943925233644,3.1388055950753837,1.9769126476117402,7.837682842969548
91,1.4838709677419355,3.707431490400006,2.4774164439107556,8.052079959192028
90,1.4140969162995596,3.8220883443676383,1.8105670684772208,9.625492717772767
89,1.4360189573459716,2.1199465968970657,1.834695274676162,9.222246755104727
88,1.229665071770335,0.028473862431287245,2.235835072083005,8.117020123717106
87,1.229665071770335,0.028473862431287245,2.235835072083005,8.117020123717106
86,1.3031674208144797,0.7967289481733347,1.754284635662395,9.290685290769378
85,1.4155251141552512,0.3944722880896546,1.6407474782867568,9.255123243015255
84,1.190909090909091,0.521650559790414,1.8121895245599435,10.520949755183274
83,1.4657534246575343,0.35234572374337236,2.32257887891147,10.467273481265522
82,1.1954545454545455,1.308678501157134,2.0448023121712566,10.79753267256497
81,1.3766816143497758,1.7330384852649252,2.530824441438623,11.185656100958099
80,1.3424657534246576,2.765519966435567,1.3654294063266625,10.963413469847895
79,1.3424657534246576,2.765519966435567,1.3654294063266625,10.963413469847895
78,1.2547169811320755,2.905960596447667,1.3066470156656467,11.377072201498041
77,1.45662100456621,3.5463569834085953,2.610936650615724,11.98633028897619
76,1.278048780487805,4.416419216295317,2.6736309985770195,12.348363239500879
75,1.3732718894009217,7.290452233964121,3.07323581733599,13.866670887040602
74,1.3839285714285714,5.202683465663129,3.487270465440812,12.802209198636097
73,1.3839285714285714,5.202683465663129,3.487270465440812,12.802209198636097
72,1.2616822429906542,3.7577724028056765,3.736677004802638,13.030822854031522
71,1.3454545454545455,2.0581234694128088,4.194236474764348,11.539279835398563
70,1.178743961352657,2.245783460225642,2.557810634198284,11.91786452398124
69,1.2115384615384615,1.6243378574786491,1.6463651794777923,13.46011273823443
68,1.2115384615384615,1.6243378574786491,1.6463651794777923,13.46011273823443
67,1.1100478468899522,1.5453917364423624,1.55690469483421,13.659045583208556
66,1.231818181818182,1.9225015521680051,0.4077278591047888,13.341639780254958
65,1.3333333333333333,1.0769080658599073,1.816953208078603,12.381759447032282
64,1.3258928571428572,0.8016137257400888,0.5935290244063816,15.366476951628501
63,1.3258928571428572,0.8016137257400888,0.5935290244063816,15.366476951628501
62,1.3603603603603605,0.4779206029010051,1.122074380753228,15.786116490251803
61,1.3649289099526067,0.21049948931099077,1.0728593237317188,16.264578387186916
60,1.5255813953488373,1.6845074761084795,0.004922093561509966,16.28711676105455
59,1.3936651583710407,4.057310366066215,0.7742970586268012,16.606269109251727
58,1.2764976958525345,5.054167891687461,1.8523177373749822,16.202552472297054
57,1.3738738738738738,6.707952706812982,1.9621860132780056,15.498560677345376
56,1.3783783783783783,7.238471490841049,1.3066844286788797,16.645741848069388
55,1.3616071428571428,6.179510637624028,1.9662964307163955,16.63072807780578
54,1.5044642857142858,7.212143670655878,3.3588090344713013,19.000411402349002
53,1.6666666666666667,6.88260250811266,3.37918061757998,19.397065781358283
52,1.4739130434782608,6.701944236458093,3.7592703227017115,20.169071547042794
51,1.3380281690140845,6.288026138354486,3.5064603107470393,20.13035954653837
50,1.201834862385321,8.298346644573185,2.200364009794435,18.69567231522382
49,1.188118811881188,10.241262349740095,1.6092494687302636,18.638651271184873
48,1.2464454976303319,9.234557738165389,2.263929433938853,18.52778367621765
47,1.2464454976303319,9.234557738165389,2.263929433938853,18.52778367621765
46,1.1753554502369667,9.51244127944021,2.6162692713526523,19.496396827035955
45,1.1753554502369667,9.51244127944021,2.6162692713526523,19.496396827035955
44,1.3470319634703196,10.87463940511945,1.7052225195206876,19.629202492453
43,1.2690582959641257,12.24882997972574,2.0179139192487914,16.914208188920583
42,1.3256880733944953,12.290139610530261,1.8394761690031867,17.10078088859669
41,1.1568627450980393,13.065832006296883,3.601920896004496,17.38956799495482
40,1.547008547008547,12.683800407151866,2.0126971527581983,18.93588754844342
39,1.547008547008547,12.683800407151866,2.0126971527581983,18.93588754844342
